wrongd , 3
beest , 2
security , 1
defend , 2
louer , 2
sutor , 2
laments , 1
teeth , 3
emulation , 1
mayest , 1
traitors , 9
contriue , 1
prythee , 3
senatehouse , 1
doest , 3
errand , 1
madam , 5
agen , 2
shouldst , 2
side , 5
mountaine , 1
tweene , 2
womans , 1
counsell , 1
returne , 1
sickly , 1
sutors , 2
hearke , 6
listen , 2
bussling , 1
rumor , 1
fray , 1
winde , 4
bin , 3
lady , 3
ninth , 1
suite , 5
befriend , 1
knowst , 2
harmes , 1
intended , 2
chance , 2
street , 2
followes , 1
heeles , 2
praetors , 1
crowd , 1
voyd , 1
aye , 1
speede , 2
thine , 4
grant , 2
faint , 1
merry , 2
tertius , 1
lepidus , 8
artimedorus , 1
read , 7
scedule , 1
oreread , 1
leysure , 1
humble , 2
mines , 1
touches , 2
neerer , 1
serud , 2
delay , 1
instantly , 1
mad , 2
sirra , 4
vrge , 3
petitions , 1
popil , 2
thriue , 2
popillius , 3
lena , 2
wisht , 1
discouered , 1
makes , 3
sodaine , 3
slay , 2
constant , 4
cimber , 1
presently , 4
preferre , 2
addrest , 1
reares , 1
ready , 3
puisant , 1
throwes , 1
seate , 1
couchings , 1
lowly , 1
courtesies , 1
preordinance , 1
decree , 2
lane , 1
fond , 1
rebell , 1
thawd , 1
quality , 2
melteth , 1
sweet , 3
lowcrookedcurtsies , 1
spaniell , 1
fawning , 1
banished , 1
curre , 2
wrong , 17
satisfied , 6
sweetly , 1
repealing , 1
banishd , 2
flattery , 1
desiring , 1
immediate , 1
freedome , 4
repeale , 1
lowe , 2
begge , 4
infranchisement , 1
mooue , 2
prayers , 1
northerne , 1
starre , 1
fixt , 1
resting , 1
firmament , 1
skies , 1
painted , 1
vnnumbred , 1
shine , 1
furnishd , 1
flesh , 1
apprehensiue , 1
vnassayleable , 1
ranke , 2
vnshakd , 1
remaine , 1
lift , 1
olympus , 2
bootlesse , 1
stab , 3
et , 1
tu , 1
brute , 1
dyes , 2
liberty , 4
tyranny , 1
proclaime , 2
pulpits , 1
enfranchisement , 1
affrighted , 1
fly , 5
debt , 1
paid , 1
pulpit , 5
dec , 2
wheres , 1
confounded , 1
mutiny , 5
standing , 1
cheere , 1
harme , 2
person , 1
rushing , 2
mischiefe , 1
abide , 2
deede , 3
doers , 1
fled , 3
amazd , 1
wiues , 1
doomesday , 1
pleasures , 2
drawing , 1
cuts , 2
twenty , 1
yeares , 2
benefit , 2
abridgd , 1
stoope , 2
elbowes , 1
besmeare , 1
swords , 4
wauing , 1
red , 4
weapons , 1
ore , 2
stoop , 1
wash , 1
lofty , 1
scene , 1
acted , 1
vnborne , 1
accents , 1
vnknowne , 2
sport , 1
basis , 1
worthier , 1
dust , 1
knot , 1
country , 3
boldest , 1
antonies , 1
master , 11
prostrate , 1
royall , 2
louing , 1
honour , 3
honourd , 3
loud , 6
safely , 1
deserud , 2
liuing , 4
fortunes , 1
affayres , 3
thorough , 1
hazards , 1
vntrod , 1
faith , 2
depart , 4
vntouchd , 1
feares , 1
misgiuing , 1
falles , 1
shrewdly , 1
conquests , 1
glories , 3
triumphes , 1
spoiles , 1
shrunke , 1
measure , 1
intend , 1
instrument , 5
rich , 2
whilst , 6
purpled , 1
reeke , 1
smoake , 1
fulfill , 1
thousand , 1
yeeres , 2
choice , 1
though , 6
bleeding , 2
businesse , 4
pittifull , 1
pitty , 5
driues , 1
deed , 5
leaden , 2
points , 1
malice , 1
brothers , 1
receiue , 3
reuerence , 2
disposing , 1
