Word , Count
murthered , 2
(like , 2
whore) , 2
vnpacke , 2
scullion? , 2
fye , 2
vpon't , 3
foh , 2
cunning , 3
scoene , 3
proclaim'd , 2
malefactions , 2
myraculous , 2
organ , 2
obserue , 3
course , 3
t' , 2
pleasing , 2
yea , 3
potent , 3
relatiue , 2
play's , 2
guildenstern , 3
puts , 3
confusion , 2
turbulent , 2
dangerous , 5
lunacy , 2
confesse , 3
feeles , 2
crafty , 2
keepes , 2
aloofe , 2
well? , 2
reply , 2
assay , 3
pastime? , 2
ore-wrought , 2
told , 2
content , 2
edge , 2
driue , 2
purpose , 5
closely , 2
affront , 2
(lawful , 2
espials) , 2
frankely , 2
iudge , 3
if't , 2
affliction , 3
wish , 3
wildenesse , 2
hope , 4
vertues , 2
honors , 2
exercise , 3
prou'd , 2
deuotions , 2
diuell , 4
harlots , 2
cheeke , 3
beautied , 2
plaist'ring , 2
deede , 3
painted , 2
comming , 4
withdraw , 3
slings , 2
arrowes , 3
outragious , 2
opposing , 2
heart-ake , 2
shockes , 2
deuoutly , 2
wish'd , 2
pawse , 2
respect , 2
whips , 3
scornes , 2
pangs , 2
dispriz'd , 2
lawes , 2
delay , 3
patient , 3
merit , 2
vnworthy , 2
bare , 2
bodkin? , 2
fardles , 2
dread , 2
something , 6
traueller , 2
returnes , 3
puzels , 2
flye , 3
hew , 2
resolution , 2
enterprizes , 2
pith , 2
moment , 2
soft , 7
sinnes , 3
remembred , 2
humbly , 2
thanke , 4
remembrances , 2
gaue , 4
honor'd , 2
rich , 3
perfume , 2
wax , 2
giuers , 2
vnkinde , 2
faire? , 2
honesty , 2
honestie? , 2
transforme , 2
bawd , 2
sometime , 2
paradox , 2
innocculate , 2
stocke , 2
rellish , 2
breeder , 2
sinners? , 2
indifferent , 2
mother , 21
borne , 3
prowd , 2
reuengefull , 2
fellowes , 4
crawling , 2
nunnery , 4
where's , 4
foole , 4
in's , 3
house , 2
doest , 2
plague , 3
escape , 3
calumny , 2
wise , 3
men , 5
monsters , 2
has , 3
another , 4
creatures , 3
wantonnesse , 2
marriages , 2
o're-throwne? , 2
expectansie , 2
rose , 4
obseru'd , 2
obseruers , 2
quite , 5
suck'd , 2
honie , 2
musicke , 3
vowes , 4
bels , 2
iangled , 2
tune , 3
harsh , 3
blasted , 2
affections , 2
tend , 2
soule? , 2
hatch , 2
disclose , 2
quicke , 5
determination , 2
demand , 2
neglected , 3
variable , 3
obiects , 2
expell , 2
braines , 4
beating , 3
sprung , 2
ophelia? , 4
alone , 3
intreat , 2
plac'd , 2
england , 11
send , 4
ones , 4
vnwatch'd , 2
three , 6
pronounc'd , 2
town-cryer , 2
gently , 2
verie , 8
torrent , 2
acquire , 2
beget , 2
temperance , 2
robustious , 2
pery-wig-pated , 2
teare , 3
groundlings , 2
part) , 2
capeable , 3
whipt , 2
o're-doing , 2
termagant , 2
tutor , 2
sute , 2
ore-stop , 2
modestie , 2
'twer , 2
feature , 2
scorne , 2
ouer-done , 2
tardie , 2
vnskilfull , 2
censure , 2
allowance , 2
o'reway , 2
praise , 2
christians , 2
christian , 5
pagan , 2
iouerney-men , 2
reforme , 2
altogether , 2
necessary , 2
pittifull , 2
vses , 3
worke? , 2
hoa , 3
conuersation , 2
coap'd , 2
flatter , 2
reuennew , 2
candied , 2
absurd , 2
pompe , 2
faining? , 2
dost , 7
distinguish , 2
election , 3
suffering , 2
suffers , 2
'tane , 2
blest , 2
pipe , 2
fortunes , 4
finger , 3
passions , 2
weare , 4
circumstance , 2
see'st , 2
acte , 3
a-foot , 2
occulted , 2
guilt , 3
vulcans , 2
stythe , 2
iudgements , 3
ioyne , 2
steale , 2
playing , 2
guard , 3
carrying , 2
torches , 2
danish , 5
flourish , 3
idle , 2
ifaith , 2
camelions , 2
dish , 2
eate , 2
plaid , 3
accounted , 2
enact , 2
iulius , 2
caesar , 3
kill'd , 4
capitol , 2
calfe , 2
ready? , 2
ladie , 2
lap? , 2
meant , 3
country , 2
matters? , 2
merrie , 2
cheerefully , 2
houres , 2
twice , 2
moneths , 2
diuel , 2
ago , 2
forgotten , 2
yet? , 2
builde , 2
churches , 2
epitaph , 2
hoby-horse , 2
forgot , 4
hoboyes , 2
enters , 2
louingly , 2
embracing , 2
kneeles , 2
protestation , 2
declines , 2
neck , 2
layes , 2
banke , 2
a-sleepe , 2
leaues , 2
kisses , 2
powres , 2
poyson , 4
kings , 5
findes , 2
poysoner , 3
mutes , 2
carried , 2
wooes , 2
loath , 2
vnwilling , 2
awhile , 3
mischeefe , 2
belike , 3
imports , 4
argument , 2
naught , 3
prologue , 4
begge , 5
hearing , 3
patientlie , 2
poesie , 2
ring? , 2
full , 7
thirtie , 3
times , 5
phoebus , 2
cart , 2
gon , 2
dozen , 3
moones , 2
borrowed , 2
sheene , 2
hymen , 2
count , 4
former , 2
discomfort , 2
(my , 3
lord) , 2
extremity , 2
siz'd , 2
shortly , 3
behinde , 2
