Word , Count 
Matine,1
T',1
gray,1
times:,1
ripe,1
Larded,2
Throate,2
vnyoake,1
Ro,1
affliction,2
Valiant,1
cheere,2
triumph,1
Reynoldo,4
wormes,1
wandring,1
stalkes,1
meerely,2
a-foot,1
builde,1
Byrlady,1
palpable,1
Tyrant,1
such,45
Se,1
remaine,1
Thankes,5
Danskers,1
expence:,1
Scoenes,1
absolute,1
Fire,1
chaunted,1
sweaty,1
So,44
neere,8
countenance,4
Saint,1
Other,12
presently,5
Conceit,3
dreadfull,3
erring,1
Commission,5
exployt,1
attractiue,1
envenom'd:,1
Delay,1
armes:,1
Violl,1
forgetting,1
heereafter,1
didst,1
Guil,10
sounded,1
white,3
would'st,3
Battery,1
Crownes,1
houses,1
royall,1
Denmark's,1
Moneth,1
Crowner,1
briefe,1
huge,1
Guard,2
To,109
Truth,1
seeming,3
let's,7
might,28
Sutes,1
leade,1
designe,1
Frost,1
lanke,1
Free,1
Awake,1
Gallowes,4
surmise,1
feele,1
O'remaster't,1
ignorance,1
leads,1
diuell,3
trifle,1
next,3
Beauty,1
giue,39
color,1
wringing,1
lyes,2
Tenants,1
sweare,2
Saile,1
non,1
sorrowes,1
perfume,1
weigh'd,2
nor,18
not,281
Siluer'd,1
Affaire,1
impartment,1
now,64
Flesh,2
Blacke,2
Vp,2
vacancie,1
Towring,1
wag,2
rite,1
poore,19
thoughts,15
election,3
Decayer,1
aloofe,1
knew'st,1
lawlesse,1
foredoes,1
Holding,1
was,73
grained,1
greet,1
Betweene,3
grew,1
seeing:,1
We,30
way,10
wax,1
necessaries,1
Thoughts,2
what,110
Quoth,1
breake,4
fortified,1
Within,5
Powers,2
rise,2
flame,2
Seruices,1
Proclaime,1
Repent,1
Weeds,1
beseech'd,1
play,15
fought,1
quickly,1
dipping,1
Seed:,1
out-stretcht,1
when,27
Orbed,1
cheefest,1
volly,1
Switzers,1
proclaim'd,1
possitiuely,1
stuck,1
deceiu'd,1
Potion:,1
fat,6
Olde,1
catch,2
prou'd,3
vnwholsome,1
Chowgh;,1
Daughters,1
pawse,1
Poem,1
pronounc'd,2
Loe,2
vnnerued,1
swear't,1
Bodie,1
depends,2
double,6
Poet,1
horrid,2
Extasie,1
lowest,1
prouide:,1
lofty,1
Station,1
Old;,1
Bodkin,1
Wisedomes,1
Purgation,1
Rule,1
Heere,6
Fixt,1
study,1
encombred,1
direct,4
Richer,1
feede,2
Sleepe,1
Weedes,1
poyson'd,2
raines,1
Secundus,1
please;,1
Friend,8
Without,4
wee,6
Sorrow,2
wed,2
tother,1
Begin,1
Heere's,2
sweete:,1
you'l,5
penetrable,1
burnes,2
changeling,1
wel,2
Beggard,1
circumuent,1
Prouinciall,1
Madnesse,7
Garlands,1
reuenge,3
dishes,1
great,19
crust,1
wrong,6
villaine,3
befitted,1
Romage,1
shirt,1
wrinkled;,1
wanton,2
Angle,1
proceeded,1
whet,1
rage,1
sides,1
stockings,1
heads,1
Day,2
Weaknesse,2
looke,18
fed,1
Grace,5
Bookes,1
whit,1
constantly,1
Villaine,6
Arm'd,3
lookt,2
threaten,1
whiles,1
few,3
Faulconers,1
fey,1
Ieering,1
leane,1
perceiue,1
otherwise,3
fro[m],2
murthered,1
borne,5
Daughter,7
Foode,1
presence;,1
pleasing,1
Flagons,1
Faults,1
effects,2
head:,1
did;,1
head;,1
indifferent,3
effect,6
hung,1
keep,1
Fall,1
bak'd,1
matter;,1
windes,2
darkest,1
who,16
matter:,2
processe,1
Southerly,1
Controuersie,1
wondrous,2
Message,1
Incest,1
Milkie,1
why,12
faith,6
denies,1
Ominous,1
fares,2
doubtfull,2
'tane,1
Earth,9
drinke,12
alone,8
damned,5
along,3
Rewards,2
Antiquity,1
hermony,1
rocke,1
wil,4
diet,1
win,2
Monthes,1
breach,1
wit,1
Denmarke,18
Preparations,1
wisenesse,1
Milke,1
gall,1
From,7
Spirit,9
Tender,1
hang;,1
fac'd,1
smear'd,1
vnequall,1
Plague,2
Dominions,1
Denmarks,1
Statists,1
Iephta,3
matters,3
Denmark,1
Pole:,1
dispatcht;,1
visit,3
continuall,1
ayme,1
Strawes,1
Pole,1
scratcht,1
extent,1
rant,1
a-while,3
Pons,1
fie,3
greeting,1
Combate,1
bring,9
who;,1
Cries,1
fond,2
fit,12
pangs,1
