Milk Chocolate,47773,Hybrid,89mg,14.0,,Punch Edibles,Eaze,
Toffee Milk Chocolate,47772,Hybrid,90mg,14.0,,Punch Edibles,Eaze,
Revive,31632,Hybrid,16.00 - 22.00,13.57,,Cove ,PEI Cannabis,
Bakerstreet,31465,Indica,2.5mg/cap,13.03,,Tweed ,PEI Cannabis,
King Louis Preroll,49629,Indica,19%,13.0,,THC Design,Eaze,
California Orange Gummies,47752,Sativa,100mg,13.0,,Emerald Sky,Eaze,
Apple Pear Gummies,47753,Hybrid,100mg,13.0,,Emerald Sky,Eaze,
Wild Berry Gummies,47751,Indica,100mg,13.0,,Emerald Sky,Eaze,
Magnetic Storage Pod,49647,Other,,12.0,,Myster,Eaze,
Chemdog Preroll,51420,Hybrid,18%,12.0,,1Lyfe,Eaze,
Lazy Lizard Preroll,51421,Hybrid,20%,12.0,,1Lyfe,Eaze,
FIGR No. 10 - Master,31455,Hybrid,12.99 - 19.99,11.15,,FIGR ,PEI Cannabis,
Penelope,32359,Hybrid,5.00 - 15.00,11.07,,Tweed ,PEI Cannabis,
Chocolope,40813,Sativa,14.00 - 24.00,10.43,,Aurora ,PEI Cannabis,
Cookies Hemp Shredder,49655,Grinder,,10.0,,Santa Cruz Shredder,Eaze,
Transdermal Sativa Patch,47525,Sativa,20mg,10.0,,Mary's Medicinals,Eaze,
Transdermal Indica Patch,47523,Indica,20mg,10.0,,Mary's Medicinals,Eaze,
Transdermal CBN Patch,47524,Hybrid,,10.0,,Mary's Medicinals,Eaze,
Hi-Fi Hops IPA 5mg THC 5mg CBD,47788,CBD,Hi-Fi Hops IPA 5mg THC 5mg CBD,10.0,,Lagunitas/Absolute Xtracts,Eaze,
Gelato 45 Preroll,49628,Hybrid,13%,10.0,,Flow Kana,Eaze,
Gelato 33 Preroll,51579,Indica,12%,10.0,,Flow Kana,Eaze,
Orange Kreamsicle 1g Preroll,49625,Sativa,18%,10.0,,LoudPack,Eaze,
Pineapple Upside Down Cake Preroll,49626,Sativa,17%,10.0,,Flow Kana,Eaze,
Chem Dawg 1g Preroll,49624,Hybrid,24%,10.0,,LoudPack,Eaze,
Jack Herer Preroll,49622,Sativa,19%,10.0,,Humboldt Farms,Eaze,
Sky OG 1g Preroll,49623,Indica,19%,10.0,,LoudPack,Eaze,
FIGR No. 10 - Craft,44351,Hybrid,15.00 - 19.00,9.57,,FIGR ,PEI Cannabis,
Twd. Sativa,44370,Blend,10.00 - 25.00,9.24,,Twd. ,PEI Cannabis,
Universal Battery,49645,Battery,,9.0,,Chemyx,Eaze,
Ringo's Gift CBD Preroll,51419,CBD,1%,9.0,,LoLo,Eaze,
City Lights,32244,Hybrid,15.00 - 20.00,8.7,,Edison ,PEI Cannabis,
Shoreline,47052,Indica,16.00 - 22.00,8.69,,Affirma ,PEI Cannabis,
Sympa-tea,47486,CBD,3mg,8.0,,Kikoko,Eaze,
Soar - Wild Berry 25mg THC,47785,Hybrid,Soar - Wild Berry 25mg THC,8.0,,S-Shots,Eaze,
Sativa Classic Preroll,49620,Sativa,16%,8.0,,Island,Eaze,
Hybrid Classic Preroll,49621,Hybrid,23%,8.0,,Island,Eaze,
Indica Classic Preroll,49619,Indica,13%,8.0,,Island,Eaze,
PR OG Preroll 2-Pack,51415,Indica,20%,8.0,,Pacific Stone,Eaze,
Cloud Berry Preroll,49958,Hybrid,17%,7.0,,L E U N E ,Eaze,
Desert Gold Preroll,49959,Hybrid,18%,7.0,,L E U N E ,Eaze,
calm sachet 5 doses,47748,CBD,1mg,7.0,,dosist,Eaze,
Sleep Instant Tea,47798,CBD,2mg,7.0,,Atlas,Eaze,
Sol Berry Preroll,50601,Hybrid,23%,7.0,,L E U N E ,Eaze,
bliss sachet 5 doses,47747,Hybrid,16mg,7.0,,dosist,Eaze,
Raspberry &amp'' Hibiscus Beverage Mix,47797,CBD,5mg,6.0,,Atlas,Eaze,
No. 407 Sapphire Daze,44364,Indica,15.00 - 26.00,5.65,,Haven St. ,PEI Cannabis,
No. 509 Skyscraper,44365,Hybrid,16.00 - 20.00,5.65,,Haven St. ,PEI Cannabis,
Balance,42314,CBD,2.00 - 7.00,5.64,,Solei ,PEI Cannabis,
FOCUS HoneyShot,47482,CBD,2mg,5.0,,Kikoko,Eaze,
Hot Chocolate,47481,Hybrid,4mg,5.0,,Kiva Confections,Eaze,
Canadian Lumber The Greens 1.25,31639,,,2.04,,Canadian Lumber ,PEI Cannabis,
